stock,gap_date,gap_width,gap_day_pl,revert_time,u_curve_effect,u_curve_profit,lowest_day,market_change_20d,Sector
MRO,2011-08-08,-0.07575882132121337,-0.03189726594863296,1,True,0.071930486580034,0.0,-0.14573268921095017,Energy
MAS,2001-09-17,-0.08022803114571753,-0.025474254742547275,12,True,0.17115303528618053,4.0,-0.12554987516347638,Industrials
MAT,2017-01-26,-0.13601385148133893,-0.046938027136047,31,False,,,0.02195953838246978,Consumer Discretionary
MCK,2004-09-08,-0.08103990810301276,-0.07760683760683762,31,False,,,0.040936404606910504,Health Care
MDT,2007-10-15,-0.10274326791419441,-0.010880316518298794,31,False,,,0.02158394221886284,Health Care
MCHP,2002-10-16,-0.05339175484274816,-0.0600823045267489,1,True,0.059443471407832967,0.0,0.026428807400066034,Information Technology
MCHP,2002-10-24,-0.06977534196938129,-0.049056603773584895,1,True,0.03331184182248007,1.0,0.06783369803063466,Information Technology
MCHP,2007-10-09,-0.07432519035737539,-0.05691536419935117,31,False,,,0.06320893583860077,Information Technology
MCHP,2011-07-12,-0.10305865167721895,-0.020523497917905975,8,True,0.06556129230596723,4.0,0.021194957061940523,Information Technology
MCHP,2014-10-10,-0.11505293580765286,-0.008436724565756837,7,True,0.0795800397447237,3.0,-0.03795782463928954,Information Technology
MCHP,2018-08-10,-0.09867609694116664,-0.011199095022624617,11,True,0.0789736020400737,5.0,0.013690128504672883,Information Technology
MSFT,2006-04-28,-0.1108129416992788,-0.0033016921172100977,1,True,0.003917553741215131,0.0,0.012609704428528268,Information Technology
MHK,2002-07-16,-0.2119565217391305,0.09195402298850586,1,True,0.04989010989010996,0.0,-0.13427845392537108,Consumer Discretionary
TAP,2005-04-28,-0.11701211052322169,-0.07678780773739735,31,False,,,-0.02757916241062297,Consumer Staples
TAP,2008-08-05,-0.099587169843946,-0.016935319322587183,1,True,0.032737572856079485,0.0,0.028562808005631934,Consumer Staples
MNST,2001-10-02,-0.12499999999999989,0.0,3,True,0.14285714285714277,0.0,-0.08284241531664216,Consumer Staples
MNST,2001-10-08,-0.12499999999999989,0.0,10,True,0.14285714285714277,0.0,-0.05949114492392127,Consumer Staples
MNST,2003-02-28,-0.11111111111111105,0.0,3,True,0.12499999999999993,0.0,-0.013526570048309261,Consumer Staples
MNST,2003-03-07,-0.11111111111111105,0.0,2,True,0.12499999999999993,0.0,-0.0011629838843661977,Consumer Staples
MNST,2003-03-12,-0.11111111111111105,0.0,4,True,0.12499999999999993,0.0,-0.012660364618501063,Consumer Staples
MNST,2003-03-21,-0.11111111111111105,0.0,1,True,0.12499999999999993,0.0,0.07442937479325162,Consumer Staples
MNST,2003-03-26,-0.11111111111111105,0.0,1,True,0.12499999999999993,0.0,0.0366474938373047,Consumer Staples
MNST,2003-05-07,-0.11111111111111105,0.0,3,True,0.12499999999999993,0.0,0.07311657414750194,Consumer Staples
MCO,2011-08-18,-0.0378269191958257,-0.07608336089976853,7,True,0.1282097944845749,1.0,-0.14910901467505244,Financials
